Trail - Nov - Lerchenfeld -breathingRate, 16.8
Trail - Feb - Lerchenfeld -breathingRate, 16.4
Track - Jan - Savoyer Au -breathingRate, 18.1
Track - Feb - Savoyer Au -breathingRate, 17.8
Track - Dec - Savoyer Au -breathingRate, 16.5
Cycling - Oct - Riegerau -breathingRate, 16.9
Cycling - Sep - Eittingermoos -breathingRate, 16.2
Longboard - Feb - Zaragoza -breathingRate, 16.6
Longboard - Mar - Montserrat -breathingRate, 16.1
Longboard - Aug - Ljubljana -breathingRate, 16.5
Windsurfing - Sep - Cannobio -breathingRate, 16.4
Longboard - Feb - Monaco -breathingRate, 15.6
Longboard - Mar - Antibes -breathingRate, 15.8
Longboard - Feb - Zurich -breathingRate, 16.6
Longboard - Sep - Novigrad -breathingRate, 16.4
Track - Apr - Ascherbach -calories, 19
Swimming - Sep - Porec -calories, 10
Trail - Sep - Cevar-Porat -calories, 197
Cycling - Aug - Eichenau -calories, 398
Cycling - Jul - Puchheim -calories, 517
Swimming - Sep - Cannero -calories, 5
Swimming - Jun - Marzling -calories, 12
Snowboard - Mar - Kitzsteinhorn -calories, 77
Longboard - Jan - Port Vell -calories, 410
Alpine Skiing - May - Jachymov -calories, 43
Longboard - Apr - Bad Gastein -calories, 123
Trail - Jun - Buchelweg -calories, 148
Trail - Jul - Buchelweg -calories, 156
Mountainboard - May - Buchelweg -calories, 81
Mountainboard - Aug - Buchelweg -calories, 94
Trail - May - Buchelweg -calories, 191
Trail - May - Zweigstrasse -calories, 258
Longboard - Jul - Zweigstrasse -calories, 34
Trail - Nov - Lerchenfeld -calories, 450
Trail - Feb - Lerchenfeld -calories, 371
Track - Jan - Savoyer Au -calories, 16
Track - Feb - Savoyer Au -calories, 20
Track - Dec - Savoyer Au -calories, 18
Cycling - Oct - Riegerau -calories, 285
Cycling - Sep - Eittingermoos -calories, 270
Longboard - Feb - Zaragoza -calories, 213
Longboard - Mar - Montserrat -calories, 489
Longboard - Aug - Ljubljana -calories, 19
Windsurfing - Sep - Cannobio -calories, 56
Longboard - Feb - Monaco -calories, 40
Longboard - Mar - Antibes -calories, 24
Longboard - Feb - Zurich -calories, 32
Longboard - Sep - Novigrad -calories, 19
Track - Apr - Ascherbach -heartRateVariability, 83
Swimming - Sep - Porec -heartRateVariability, 67
Trail - Sep - Cevar-Porat -heartRateVariability, 77
Cycling - Aug - Eichenau -heartRateVariability, 80
Cycling - Jul - Puchheim -heartRateVariability, 89
Swimming - Sep - Cannero -heartRateVariability, 52
Swimming - Jun - Marzling -heartRateVariability, 82
Snowboard - Mar - Kitzsteinhorn -heartRateVariability, 101
Longboard - Jan - Port Vell -heartRateVariability, 54
Alpine Skiing - May - Jachymov -heartRateVariability, 86
Longboard - Apr - Bad Gastein -heartRateVariability, 90
Trail - Jun - Buchelweg -heartRateVariability, 78
Trail - Jul - Buchelweg -heartRateVariability, 84
Mountainboard - May - Buchelweg -heartRateVariability, 55
Mountainboard - Aug - Buchelweg -heartRateVariability, 59
Trail - May - Buchelweg -heartRateVariability, 80
Trail - May - Zweigstrasse -heartRateVariability, 87
Longboard - Jul - Zweigstrasse -heartRateVariability, 49
Trail - Nov - Lerchenfeld -heartRateVariability, 79
Trail - Feb - Lerchenfeld -heartRateVariability, 86
Track - Jan - Savoyer Au -heartRateVariability, 98
Track - Feb - Savoyer Au -heartRateVariability, 94
Track - Dec - Savoyer Au -heartRateVariability, 99
Cycling - Oct - Riegerau -heartRateVariability, 80
Cycling - Sep - Eittingermoos -heartRateVariability, 93
Longboard - Feb - Zaragoza -heartRateVariability, 43
Longboard - Mar - Montserrat -heartRateVariability, 64
Longboard - Aug - Ljubljana -heartRateVariability, 60
Windsurfing - Sep - Cannobio -heartRateVariability, 53
Longboard - Feb - Monaco -heartRateVariability, 41
Longboard - Mar - Antibes -heartRateVariability, 62
Longboard - Feb - Zurich -heartRateVariability, 55
Longboard - Sep - Novigrad -heartRateVariability, 76
Track - Apr - Ascherbach -sO2, 95.0
Swimming - Sep - Porec -sO2, 93.9
Trail - Sep - Cevar-Porat -sO2, 96.0
Cycling - Aug - Eichenau -sO2, 95.0
Cycling - Jul - Puchheim -sO2, 96.0
Swimming - Sep - Cannero -sO2, 94.0
Swimming - Jun - Marzling -sO2, 97.0
Snowboard - Mar - Kitzsteinhorn -sO2, 95.0
Longboard - Jan - Port Vell -sO2, 93.0
Alpine Skiing - May - Jachymov -sO2, 94.0
Longboard - Apr - Bad Gastein -sO2, 95.0
Trail - Jun - Buchelweg -sO2, 95.0
Trail - Jul - Buchelweg -sO2, 94.0
Mountainboard - May - Buchelweg -sO2, 95.0
Mountainboard - Aug - Buchelweg -sO2, 94.0
Trail - May - Buchelweg -sO2, 97.0
Trail - May - Zweigstrasse -sO2, 95.0
Longboard - Jul - Zweigstrasse -sO2, 97.0
Trail - Nov - Lerchenfeld -sO2, 98.0
Trail - Feb - Lerchenfeld -sO2, 94.0
Track - Jan - Savoyer Au -sO2, 97.0
Track - Feb - Savoyer Au -sO2, 98.0
